DENSITY,DE,DE,DE,DE,DE,DE,ME,ME,ME,ME,ME,ME,SP,SP,SP,SP,SP,SP
TRAFFIC,HI,HI,ME,ME,LO,LO,HI,HI,ME,ME,LO,LO,HI,HI,ME,ME,LO,LO
VIZ,DI,GO,DI,GO,DI,GO,DI,GO,DI,GO,DI,GO,DI,GO,DI,GO,DI,GO
,,,,,,B,,192,22.63734944,2,11.31867472,,,,,,,
Means,,,,,,C,,288,0.4342984978,1,0.4342984978,,,,,,,
(ab),HI,ME,LO,mean,,AB Bet,,64,92.71556236,8,11.58944529,,,,,,,
DE,1.130772885,1.066477203,1.073911982,1.090387357,,A x B,AB-A-B,,35.94083916,4,8.985209789,,,,,,,
ME,1.147030453,1.116275559,1.114498874,1.125934962,,AC Bet,,96,35.13469041,5,7.026938082,,,,,,,
SP,2.402581524,1.26653318,1.201898623,1.623671109,,A x C,AC-A-C,,0.5630181513,2,0.2815090757,,,,,,,
mean,1.560128287,1.149761981,1.130103159,1.279997809,,BC Bet,,96,23.6691463,5,4.73382926,,,,,,,
,,,,,,B x C,BC-B-C,,0.5974983575,2,0.2987491787,,,,,,,
(ac),DI,GO,mean,,,ABC Bet,,32,95.05649035,17,5.591558256,,,,,,,
DE,1.088536376,1.092238337,1.090387357,,,A x B x C,ABC-A-B-C-AB-AC-BC,,0.7461129859,4,0.1865282465,,,,,,,
ME,1.139380126,1.112489798,1.125934962,,,Error,T-all,,69.34892095,558,0.1242812203,,,,,,,
SP,1.694453586,1.552888632,1.623671109,,,,,,,,,,,,,,,
mean,1.307456696,1.252538923,1.279997809,,,ANOVA,,,,,,,,,,,,
,,,,,,Source of variation,SS,df,MS,F,P-value,F Crit,Evaluation,,,,,
(bc),DI,GO,mean,,,A (Density),34.1374,2,17.0687,137.3392,0.0000,3.0119,Significant,,,,,
HI,1.629007468,1.491249106,1.560128287,,,B (Traffic),22.6373,2,11.3187,91.0731,0.0000,3.0119,Significant,,,,,
ME,1.172919703,1.126604259,1.149761981,,,C (Visualization),0.4343,1,0.4343,3.4945,0.0621,3.8582,Not significant,,,,,
LO,1.120442916,1.139763403,1.130103159,,,A x B,35.9408,4,8.9852,72.2974,0.0000,2.3879,Significant,,,,,
mean,1.307456696,1.252538923,1.279997809,,,A x C,0.5630,2,0.2815,2.2651,0.1048,3.0119,Not significant,,,,,
,,,,,,B x C,0.5975,2,0.2987,2.4038,0.0913,3.0119,Not significant,,,,,
,,,,,,A x B x C,0.7461,4,0.1865,1.5009,0.2005,2.3879,Not significant,,,,,
,,,,,,Error (Within),69.3489,558,0.1243,,,,,,,,,
,,,,,,Total,164.4054,575,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Blue: DE-DI,,,,,,,Blue: HI,,,,,
,,,,,,Red: DE-GO,,,,,,,Red: ME,,,,,
,,,,,,,,,,,,,Yellow: LO,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
