DENSITY,DE,DE,DE,DE,DE,DE,ME,ME,ME,ME,ME,ME,SP,SP,SP,SP,SP,SP
TRAFFIC,HI,HI,ME,ME,LO,LO,HI,HI,ME,ME,LO,LO,HI,HI,ME,ME,LO,LO
VIZ,DI,GO,DI,GO,DI,GO,DI,GO,DI,GO,DI,GO,DI,GO,DI,GO,DI,GO
MAR-29-20-00,-0.27,-0.81,-0.79,-0.85,-0.50,-0.47,-0.42,-0.11,-0.34,-0.20,-0.34,0.35,1.42,1.19,0.30,0.53,0.74,0.57
MAR-29-21-00,0.77,0.06,-0.84,-0.32,-0.86,-0.33,-0.37,-0.10,-0.05,0.06,0.62,-0.30,0.37,0.33,0.55,-0.09,0.86,-0.36
MAR-30-13-30,-0.48,-0.17,-0.76,-0.37,-0.71,-0.43,0.39,0.77,0.36,0.38,-0.02,0.69,1.34,-0.06,0.04,-0.28,0.01,-0.71
MAR-30-14-30,0.89,-1.16,-0.52,-0.57,-0.21,-0.63,0.17,-0.72,-0.18,-0.45,-0.38,0.17,1.30,0.42,0.74,0.64,0.05,0.44
MAR-30-15-30,1.19,0.32,0.52,-0.21,-0.56,0.17,-0.13,0.30,0.04,-0.80,0.08,0.52,0.07,0.30,-0.69,0.04,-0.70,-0.46
MAR-30-19-00,-0.01,-0.36,-0.08,-0.87,-0.34,-0.49,-0.54,-0.17,0.92,-0.55,0.39,-0.06,0.62,0.55,0.48,0.36,0.39,-0.24
MAR-31-11-00,0.02,0.55,-0.52,-0.82,-0.61,-0.07,0.60,-0.15,0.13,-0.23,-0.87,0.45,-0.13,0.61,0.19,0.46,0.76,-0.38
MAR-31-12-00,0.58,0.17,-0.30,-0.92,-0.62,-0.72,0.25,0.16,-0.64,-0.23,-0.28,-0.31,0.34,0.96,1.04,-0.01,0.16,0.38
MAR-31-15-00,0.22,-0.58,-0.58,-0.18,-0.48,-0.69,0.14,0.49,0.19,0.30,-0.21,0.35,0.33,0.37,0.38,-0.50,0.37,0.08
MAR-31-16-00,1.18,-0.59,-0.38,-1.06,0.53,-1.22,0.16,-0.17,0.53,-0.18,-0.29,-0.39,0.42,0.03,1.39,-0.20,0.49,-0.25
