,P1-DE-HI-DI,P1-DE-HI-GO,P1-DE-ME-DI,P1-DE-ME-GO,P1-DE-LO-DI,P1-DE-LO-GO,P1-ME-HI-DI,P1-ME-HI-GO,P1-ME-ME-DI,P1-ME-ME-GO,P1-ME-LO-DI,P1-ME-LO-GO,P1-SP-HI-DI,P1-SP-HI-GO,P1-SP-ME-DI,P1-SP-ME-GO,P1-SP-LO-DI,P1-SP-LO-GO,P2-DE-HI-DI,P2-DE-HI-GO,P2-DE-ME-DI,P2-DE-ME-GO,P2-DE-LO-DI,P2-DE-LO-GO,P2-ME-HI-DI,P2-ME-HI-GO,P2-ME-ME-DI,P2-ME-ME-GO,P2-ME-LO-DI,P2-ME-LO-GO,P2-SP-HI-DI,P2-SP-HI-GO,P2-SP-ME-DI,P2-SP-ME-GO,P2-SP-LO-DI,P2-SP-LO-GO,P3-DE-HI-DI,P3-DE-HI-GO,P3-DE-ME-DI,P3-DE-ME-GO,P3-DE-LO-DI,P3-DE-LO-GO,P3-ME-HI-DI,P3-ME-HI-GO,P3-ME-ME-DI,P3-ME-ME-GO,P3-ME-LO-DI,P3-ME-LO-GO,P3-SP-HI-DI,P3-SP-HI-GO,P3-SP-ME-DI,P3-SP-ME-GO,P3-SP-LO-DI,P3-SP-LO-GO,mean,st dev
MAR-30-14-30,30.73,10.51,17.26,29.08,27.97,15.74,36.00,12.82,21.95,17.67,19.92,26.31,48.60,19.51,18.35,26.10,24.16,16.04,36.57,9.14,23.53,12.33,25.30,12.96,30.80,19.91,30.62,23.91,21.48,27.13,53.60,45.61,35.81,39.99,26.03,53.37,34.09,14.55,14.37,12.32,12.33,23.06,11.03,15.95,14.00,15.83,18.50,24.57,12.77,21.12,42.42,27.24,23.66,17.18,24.11,10.93
MAR-30-15-30,68.99,52.61,50.12,38.04,22.48,54.92,30.46,37.25,39.40,25.66,41.31,52.43,45.43,37.42,28.27,48.30,22.05,34.03,41.50,34.37,41.26,27.01,32.05,27.19,38.64,40.32,32.64,25.85,30.17,34.70,27.01,31.46,25.05,29.17,32.36,26.66,24.01,18.72,21.20,23.10,22.23,18.74,21.76,27.62,24.58,17.37,26.47,25.26,25.23,36.22,18.91,19.23,17.49,19.18,31.74,11.03
MAR-30-19-00,23.63,21.61,22.96,16.99,25.24,25.69,20.28,30.71,34.78,26.62,30.91,33.00,41.46,33.93,24.78,42.51,42.77,20.72,28.69,22.15,29.47,16.50,21.35,20.40,25.28,23.49,43.91,18.75,30.61,23.86,26.07,39.47,36.16,24.83,23.80,26.99,16.60,15.53,14.49,11.30,13.27,9.49,8.57,10.41,16.14,8.50,18.49,10.84,19.08,11.20,21.76,12.07,13.44,14.76,23.08,9.32
MAR-31-11-00,23.75,23.99,13.52,4.94,11.90,13.70,37.97,22.03,29.65,16.98,4.47,13.68,18.24,27.81,25.60,18.21,38.68,19.63,11.04,24.64,7.78,8.13,7.40,18.33,12.38,8.05,8.98,11.48,8.56,17.67,10.94,13.43,10.06,22.44,10.54,5.86,5.28,5.00,4.98,5.35,4.74,5.76,4.56,5.66,4.40,5.22,4.32,19.75,7.19,14.01,8.83,10.78,10.01,4.47,13.20,8.57
MAR-31-12-00,23.28,14.45,16.55,11.30,11.60,10.89,18.68,22.18,12.31,16.31,16.94,16.41,15.20,19.56,10.78,15.34,14.34,18.30,16.60,18.14,10.50,6.75,10.46,9.78,13.99,12.35,9.11,10.78,10.40,9.28,17.30,22.26,31.01,13.92,13.27,16.34,7.03,7.56,5.14,3.94,4.83,4.69,8.68,5.38,5.15,6.37,5.19,6.36,10.43,11.36,12.78,7.80,12.30,8.88,12.42,5.54
MAR-31-15-00,37.15,18.93,10.47,47.96,13.27,29.68,42.10,61.41,49.60,48.11,26.50,26.36,44.06,35.18,26.75,26.90,26.57,48.87,26.06,11.70,24.07,10.01,26.04,7.99,27.55,16.89,20.57,26.53,16.83,44.38,33.09,37.88,53.27,16.55,45.80,18.86,19.38,18.61,14.41,8.08,14.14,6.85,9.80,15.81,11.35,11.48,21.30,17.38,10.39,15.89,9.33,8.93,16.64,9.20,24.50,14.06
MAR-31-16-00,19.58,9.88,15.36,9.11,23.00,6.66,14.34,14.60,15.36,14.97,14.94,13.95,19.62,13.17,14.38,11.37,13.35,14.06,21.34,12.23,9.91,9.01,16.19,7.71,17.90,15.46,19.03,12.96,12.34,9.23,14.34,13.30,33.15,12.17,19.27,11.43,15.36,8.07,8.11,5.14,7.47,6.52,9.08,6.30,12.27,8.38,7.30,9.95,11.20,12.94,11.86,12.40,13.54,9.80,12.97,4.90
MAR-31-17-30,32.94,65.57,36.40,52.39,53.20,38.60,50.92,65.85,47.70,40.03,63.85,53.09,54.59,48.59,23.11,67.45,36.99,44.49,31.68,61.07,21.60,36.76,23.73,29.51,23.13,42.98,29.59,31.46,75.35,28.97,33.96,15.46,61.78,41.33,61.62,131.72,61.33,112.34,28.14,34.83,19.61,31.76,32.10,39.10,23.16,49.39,20.64,25.50,48.33,67.61,64.48,26.96,36.40,33.21,44.67,21.68
MAR-28-15-00,37.87,52.95,44.18,33.21,29.05,32.58,17.16,25.49,20.04,35.35,25.88,35.25,40.18,47.66,24.77,43.76,18.13,24.68,34.35,28.77,27.03,21.54,12.99,19.93,20.38,21.44,28.27,43.60,17.79,24.01,46.00,44.28,28.28,29.51,45.62,26.24,20.42,51.13,14.71,12.06,18.22,13.11,10.75,11.73,13.12,17.28,13.73,41.39,14.21,23.82,11.24,23.63,10.25,19.41,26.82,11.83
mean,25.10,25.34,19.49,22.69,22.96,23.35,33.15,37.15,34.15,30.05,31.54,31.67,39.09,38.69,26.18,32.74,27.96,29.64,29.63,23.38,21.57,17.68,18.40,17.98,24.07,27.35,27.17,24.30,27.60,25.54,35.49,38.18,36.51,30.30,32.97,31.22,21.95,18.95,14.12,12.51,14.73,12.69,13.81,15.46,17.70,16.06,16.90,17.38,25.29,25.01,19.84,17.93,19.72,16.08,24.75,16.20
st dev,14.79,17.08,11.27,16.44,13.00,15.10,17.12,20.78,17.26,15.54,15.09,17.54,24.89,16.24,8.81,15.30,11.57,11.99,14.36,13.07,16.46,9.42,8.95,9.66,10.27,12.99,12.81,12.47,15.89,14.89,16.15,22.11,15.26,13.56,16.79,22.11,11.66,18.90,6.79,7.11,7.85,7.69,5.46,8.10,9.07,11.68,8.08,7.76,33.89,20.97,11.79,7.81,9.74,9.39,16.20,
