,P1-DE-HI-DI,P1-DE-HI-GO,P1-DE-ME-DI,P1-DE-ME-GO,P1-DE-LO-DI,P1-DE-LO-GO,P1-ME-HI-DI,P1-ME-HI-GO,P1-ME-ME-DI,P1-ME-ME-GO,P1-ME-LO-DI,P1-ME-LO-GO,P1-SP-HI-DI,P1-SP-HI-GO,P1-SP-ME-DI,P1-SP-ME-GO,P1-SP-LO-DI,P1-SP-LO-GO,P2-DE-HI-DI,P2-DE-HI-GO,P2-DE-ME-DI,P2-DE-ME-GO,P2-DE-LO-DI,P2-DE-LO-GO,P2-ME-HI-DI,P2-ME-HI-GO,P2-ME-ME-DI,P2-ME-ME-GO,P2-ME-LO-DI,P2-ME-LO-GO,P2-SP-HI-DI,P2-SP-HI-GO,P2-SP-ME-DI,P2-SP-ME-GO,P2-SP-LO-DI,P2-SP-LO-GO,P3-DE-HI-DI,P3-DE-HI-GO,P3-DE-ME-DI,P3-DE-ME-GO,P3-DE-LO-DI,P3-DE-LO-GO,P3-ME-HI-DI,P3-ME-HI-GO,P3-ME-ME-DI,P3-ME-ME-GO,P3-ME-LO-DI,P3-ME-LO-GO,P3-SP-HI-DI,P3-SP-HI-GO,P3-SP-ME-DI,P3-SP-ME-GO,P3-SP-LO-DI,P3-SP-LO-GO,mean z-score
MAR-29-21-00,0.44,0.82,-1.23,-1.09,-1.40,1.18,-1.02,-0.75,-0.31,-1.11,-1.23,0.14,1.34,1.05,0.18,0.31,0.77,-1.41,0.34,-0.62,-1.47,-1.14,-1.15,1.11,0.38,0.37,0.27,0.57,0.45,0.33,1.34,1.34,0.27,0.91,1.06,0.62,0.05,-0.34,-1.26,-1.13,-1.51,-1.25,0.80,-1.05,1.32,-1.39,1.31,-1.05,1.34,1.34,1.25,1.20,-0.63,-0.63,0.04
MAR-30-13-30,0.22,-0.15,-0.45,0.19,-2.05,0.28,0.46,-0.12,0.51,-0.10,-1.81,0.95,-0.92,-0.90,-1.43,-1.43,-0.31,-0.31,0.10,0.10,-1.89,0.71,0.51,0.88,0.77,0.96,0.99,-0.90,0.14,0.97,1.00,1.00,-0.38,-0.02,0.96,0.73,0.78,0.96,0.48,0.87,-2.03,0.40,0.48,0.99,0.57,-1.90,0.97,0.45,-1.97,1.00,0.90,0.90,-1.96,-1.16,0.43
MAR-30-14-30,1.08,-1.25,-0.38,-1.25,-0.81,-1.02,0.97,-0.71,1.02,-1.05,0.26,-1.11,-0.43,-1.33,-0.78,0.12,0.22,0.86,1.01,-0.14,-0.94,-0.94,-0.97,-1.15,1.21,0.59,0.70,1.04,0.35,0.98,1.41,1.41,1.36,1.33,1.29,1.36,1.10,-0.25,-0.85,-0.85,-1.07,-1.31,0.85,-0.91,0.85,-1.19,0.86,-0.73,1.41,-1.25,1.32,-1.29,-0.47,-0.53,-0.09
MAR-30-15-30,1.50,0.61,-0.93,-0.06,-1.31,-0.74,-0.42,-0.96,0.56,-0.99,-0.56,-1.03,1.15,1.67,-0.70,0.49,0.41,1.09,1.18,0.12,-0.46,-0.82,-0.94,-1.14,0.98,0.64,0.82,0.65,-0.35,0.61,1.67,1.67,1.52,-1.31,-0.21,-0.33,-0.34,-0.34,-1.04,-0.88,-1.02,-0.78,-0.72,-0.37,-0.06,-1.16,-1.07,-1.05,1.67,1.67,1.58,-1.27,-0.37,1.49,-0.22
MAR-30-19-00,0.96,-0.91,-0.57,-1.23,-0.70,-1.30,1.03,0.38,-1.01,0.15,-1.02,-1.01,1.37,1.13,-0.74,-0.70,0.19,0.86,0.55,0.32,-0.55,-0.91,-1.08,0.46,1.29,1.28,0.62,0.53,1.23,1.01,1.42,1.42,1.28,1.17,1.38,0.60,-0.27,-0.23,-1.22,-1.05,-1.28,-1.28,-0.76,-0.88,-0.89,-1.17,-0.86,-1.00,1.41,1.41,1.40,-1.26,-0.45,-0.51,-0.11
MAR-31-11-00,-0.71,-0.71,-1.03,-0.96,-0.80,-1.10,1.00,1.29,1.07,1.07,1.33,1.02,1.58,1.54,-0.22,1.09,0.48,0.48,-0.43,-0.43,-0.96,-0.96,-0.92,-1.07,1.20,1.11,-0.09,-0.31,-0.39,-0.39,1.58,1.58,1.17,1.17,-0.22,-1.00,-0.23,-0.23,-0.86,-0.86,-1.08,-1.08,-0.85,-0.85,-0.88,-0.88,-0.80,-0.80,1.58,1.58,1.58,-0.93,-0.54,-0.95,-0.30
MAR-31-12-00,1.05,-0.94,-0.32,-1.19,-1.02,-1.34,0.34,0.31,0.35,0.94,-1.04,-0.78,-0.91,-0.30,0.38,0.96,0.29,1.32,0.63,1.03,-1.00,-0.94,-1.15,-1.15,0.17,0.25,0.46,0.51,0.65,0.47,1.47,1.47,1.38,0.99,1.15,1.15,-0.23,-0.23,-0.85,-0.85,-1.32,-1.32,-1.07,-1.07,-1.11,-1.11,-1.02,-1.02,-1.28,1.47,1.43,1.41,1.27,1.27,-0.11
MAR-31-15-00,-0.98,-0.98,-1.23,-1.23,-1.38,-1.38,0.81,0.81,1.39,-1.24,0.27,1.10,0.31,-0.37,-0.59,-0.94,0.14,1.31,-0.17,-0.17,0.28,-0.98,0.36,-1.19,0.49,0.91,0.26,0.46,0.45,-0.65,1.41,1.39,1.38,1.11,1.37,0.99,0.67,-0.47,-1.12,-0.89,-1.36,-1.16,0.93,0.93,0.93,-1.30,-0.79,-0.74,-1.30,1.41,1.32,1.27,-1.29,-0.57,-0.07
MAR-31-16-00,1.23,-0.83,-0.93,-1.10,-0.77,-1.25,-0.93,0.52,0.46,0.44,0.37,-0.32,1.64,1.58,-0.29,-0.52,0.48,0.46,0.64,0.02,-0.83,-0.83,-1.06,-1.06,1.16,0.84,0.70,0.70,-0.48,-0.36,1.68,1.68,1.58,1.24,-0.36,-1.14,-0.30,-0.30,-0.74,-0.99,-1.02,-1.02,-0.97,-0.97,-0.58,-1.11,-0.92,-0.50,1.68,1.68,1.59,1.54,-1.09,-0.33,-0.25
MAR-31-17-30,0.19,0.43,-2.44,0.63,-2.51,0.65,0.27,0.61,-0.02,-0.08,0.34,0.28,0.62,0.57,-1.97,-0.72,-0.03,-0.81,-1.24,0.54,0.60,0.65,-0.46,0.65,0.64,0.64,0.63,0.03,-0.57,0.62,0.39,0.48,0.64,0.65,0.65,0.49,0.65,0.65,0.61,-2.47,-0.11,0.63,0.65,0.14,-2.00,-2.61,0.62,-2.20,0.65,0.65,0.65,0.48,0.41,0.57,0.81
MAR-28-15-00,-0.87,-0.87,-0.22,-1.17,-0.55,-0.40,0.32,-0.91,-0.19,0.01,-0.87,-0.69,1.65,1.12,-0.68,-0.68,0.51,0.51,1.35,0.66,1.58,-0.88,0.63,-1.13,0.84,0.81,0.75,-0.15,0.87,-0.56,1.88,1.87,1.61,1.31,1.54,-0.93,-0.23,-0.06,-1.04,-1.04,-1.32,-1.09,-0.83,-0.44,-0.36,-0.58,-0.66,-0.76,-1.27,-1.25,1.80,1.74,-0.32,-0.32,-0.29
mean z-score,-0.06,-0.63,-0.84,-0.90,-0.89,-0.70,0.42,0.16,0.28,-0.31,-0.27,-0.19,0.90,0.89,-0.64,-0.07,0.25,0.46,0.41,0.08,-0.30,-0.87,-0.59,-0.52,0.65,0.45,0.46,0.28,0.20,0.32,1.32,1.24,1.08,0.91,0.73,0.57,0.12,0.07,-0.45,-0.72,-0.93,-0.92,-0.35,-0.70,-0.42,-1.01,-0.18,-0.87,0.83,0.57,0.94,0.41,-0.40,-0.23,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,σ = 0,σ = 1,σ = 2,σ = 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min,-2.66,847.00,363.00,12.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
max,1.83,873.00,338.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tukey λ,-10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tukey's ladder of transformations:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2 = x²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1 = x = no transformation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0 = ln(x),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-1 = -1/x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-2 = -1/x²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-8 = -1/x⁸ smallest σ=2 difference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-9 = smallest σ=0 and σ=1 difference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-10 = makes all ANOVA interactions significant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"-15 = higher eff size for C, equal α for A*C and B*C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"-19 = even higher eff size for C, α for A*C minimized",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-30 = even higher eff size for C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-34 = last before B loses power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
σ,-5,-4.75,-4.5,-4.25,-4,-3.75,-3.5,-3.25,-3,-2.75,-2.5,-2.25,-2,-1.75,-1.5,-1.25,-1,-0.75,-0.5,-0.25,0,0.25,0.5,0.75,1,1.25,1.5,1.75,2,2.25,2.5,2.75,3,3.25,3.5,3.75,4,4.25,4.5,4.75,5,,,,,,,,,,,,,,
(observations),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,3.00,6.00,17.00,29.00,108.00,197.00,194.00,109.00,107.00,74.00,76.00,136.00,164.00,167.00,150.00,94.00,80.00,14.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
σ,-5,-4.75,-4.5,-4.25,-4,-3.75,-3.5,-3.25,-3,-2.75,-2.5,-2.25,-2,-1.75,-1.5,-1.25,-1,-0.75,-0.5,-0.25,0,0.25,0.5,0.75,1,1.25,1.5,1.75,2,2.25,2.5,2.75,3,3.25,3.5,3.75,4,4.25,4.5,4.75,5,,,,,,,,,,,,,,
(subjects),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,10.00,6.00,5.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,
