,P1-DE-ME-DI,P1-DE-ME-GO,P1-DE-LO-DI,P1-DE-LO-GO,P1-ME-ME-DI,P1-ME-ME-GO,P1-ME-LO-DI,P1-ME-LO-GO,P1-SP-ME-DI,P1-SP-ME-GO,P1-SP-LO-DI,P1-SP-LO-GO,P2-DE-ME-DI,P2-DE-ME-GO,P2-DE-LO-DI,P2-DE-LO-GO,P2-ME-ME-DI,P2-ME-ME-GO,P2-ME-LO-DI,P2-ME-LO-GO,P2-SP-ME-DI,P2-SP-ME-GO,P2-SP-LO-DI,P2-SP-LO-GO,P3-DE-ME-DI,P3-DE-ME-GO,P3-DE-LO-DI,P3-DE-LO-GO,P3-ME-ME-DI,P3-ME-ME-GO,P3-ME-LO-DI,P3-ME-LO-GO,P3-SP-ME-DI,P3-SP-ME-GO,P3-SP-LO-DI,P3-SP-LO-GO,subject mean,subject st dev
MAR-30-15-30,1.56,1.10,0.23,1.71,1.16,0.45,1.24,1.64,0.61,1.50,0.20,0.92,1.24,0.53,0.82,0.55,0.85,0.46,0.72,0.95,0.41,0.66,0.83,0.51,0.13,0.27,0.21,-0.07,0.38,-0.20,0.50,0.42,-0.06,-0.03,-0.19,-0.03,0.62,0.53
MAR-30-19-00,0.26,-0.24,0.42,0.45,0.95,0.51,0.76,0.87,0.39,1.29,1.30,0.09,0.68,-0.29,0.14,0.07,1.34,-0.07,0.74,0.33,1.02,0.39,0.32,0.53,-0.50,-0.91,-0.65,-1.20,-0.32,-1.39,-0.10,-0.98,0.18,-0.80,-0.63,-0.47,0.12,0.71
MAR-31-11-00,-0.62,-2.29,-0.83,-0.59,0.69,-0.24,-2.46,-0.60,0.45,-0.12,1.13,0.00,-1.54,-1.46,-1.62,-0.11,-1.30,-0.89,-1.38,-0.17,-1.11,0.23,-1.03,-2.01,-2.28,-2.16,-2.36,-2.03,-2.48,-2.20,-2.51,0.01,-1.32,-0.99,-1.12,-2.46,-1.10,1.01
MAR-31-12-00,-0.28,-0.91,-0.87,-0.98,-0.77,-0.30,-0.24,-0.29,-0.99,-0.41,-0.52,-0.11,-1.04,-1.77,-1.04,-1.15,-1.27,-0.99,-1.05,-1.24,0.76,-0.57,-0.65,-0.30,-2.22,-2.67,-2.33,-2.38,-2.22,-1.87,-2.21,-1.87,-0.71,-1.53,-0.77,-1.32,-1.09,0.77
MAR-31-15-00,-1.04,1.49,-0.65,0.69,1.54,1.49,0.50,0.49,0.52,0.53,0.51,1.52,0.34,-1.12,0.47,-1.49,0.08,0.50,-0.25,1.36,1.66,-0.28,1.41,-0.06,-0.51,-1.47,-0.54,-1.75,-0.91,-0.89,0.14,-0.20,-1.23,-1.31,-0.27,-1.26,0.00,1.01
MAR-31-16-00,-0.40,-1.27,0.27,-1.79,-0.40,-0.45,-0.45,-0.56,-0.51,-0.90,-0.64,-0.55,-1.13,-1.29,-0.32,-1.55,-0.05,-0.69,-0.77,-1.25,0.87,-0.79,-0.03,-0.90,-1.47,-2.22,-1.60,-1.83,-0.78,-1.41,-1.64,-1.13,-0.83,-0.76,-0.61,-1.15,-0.86,0.63
MAR-31-17-30,1.03,1.64,1.66,1.13,1.48,1.19,1.96,1.66,0.28,2.06,1.06,1.36,0.16,1.05,0.32,0.68,0.69,0.79,2.24,0.65,1.91,1.24,1.91,3.17,0.60,0.96,0.00,0.80,0.28,1.54,0.09,0.44,1.98,0.53,1.03,0.88,1.12,0.71
MAR-28-15-00,1.35,0.88,0.66,0.85,0.04,0.98,0.46,0.98,0.39,1.34,-0.13,0.38,0.54,0.16,-0.68,0.03,0.61,1.33,-0.16,0.34,0.61,0.68,1.41,0.49,-0.48,-0.81,-0.12,-0.67,-0.67,-0.21,-0.59,1.24,-0.92,0.31,-1.08,-0.01,0.26,0.71
map mean,-0.24,-0.14,0.01,-0.12,0.71,0.53,0.58,0.57,0.38,0.66,0.46,0.55,-0.12,-0.40,-0.30,-0.39,0.35,0.16,0.31,0.18,0.89,0.58,0.67,0.49,-0.72,-0.97,-0.69,-0.97,-0.38,-0.62,-0.45,-0.35,-0.21,-0.30,-0.17,-0.56,0.00,1.00
map st dev,0.87,1.17,0.94,1.30,0.87,0.78,0.92,0.89,0.61,0.84,0.68,0.72,0.91,0.90,0.83,0.95,0.86,0.84,0.96,0.96,0.72,0.71,0.83,0.97,0.78,0.88,0.86,0.90,0.88,0.93,0.88,0.72,0.87,0.73,0.78,0.90,1.00,
