,P1-DE-ME-DI,P1-DE-ME-GO,P1-DE-LO-DI,P1-DE-LO-GO,P1-ME-ME-DI,P1-ME-ME-GO,P1-ME-LO-DI,P1-ME-LO-GO,P1-SP-ME-DI,P1-SP-ME-GO,P1-SP-LO-DI,P1-SP-LO-GO,P2-DE-ME-DI,P2-DE-ME-GO,P2-DE-LO-DI,P2-DE-LO-GO,P2-ME-ME-DI,P2-ME-ME-GO,P2-ME-LO-DI,P2-ME-LO-GO,P2-SP-ME-DI,P2-SP-ME-GO,P2-SP-LO-DI,P2-SP-LO-GO,P3-DE-ME-DI,P3-DE-ME-GO,P3-DE-LO-DI,P3-DE-LO-GO,P3-ME-ME-DI,P3-ME-ME-GO,P3-ME-LO-DI,P3-ME-LO-GO,P3-SP-ME-DI,P3-SP-ME-GO,P3-SP-LO-DI,P3-SP-LO-GO,subject mean,subject st dev
MAR-26-17-00,1.06693696,1.043132478,1.025770698,1.029739053,1.060671182,1.013015588,1.015932927,1.006299697,1.099041751,1.096965575,1.079900208,1.181609733,1.279238911,1.024730453,1.01883769,1.016858156,1.103696425,1.124507451,1.026155741,1.11975954,1.140672972,1.34612985,1.036859095,1.274659334,1.19717186,1.012342926,1.164484683,1.019984618,1.023041804,1.005071374,1.207985204,1.027074214,1.006406016,1.353248084,1.005720039,1.023582651,1.091034304,0.10
MAR-26-18-00,1.011075123,1.002737901,1.00471097,1.012118439,1.057750476,1.09727605,1.015175479,1.009707758,1.016431505,1.004219074,1.091186132,1.172769973,1.013341341,1.015561129,1.006839125,1.006839125,1.048477906,1.107182758,1.026896096,1.118852514,1.335593158,1.457866446,1.340992276,1.268024032,1.009608668,1.01951557,1.000766419,1.000766419,1.010925882,1.005071374,1.011972845,1.008470831,1.353248084,1.34823539,1.038246836,1.035014818,1.085651887,0.13
MAR-26-22-00,1.00532239,1.00532239,1,1,1.124310408,1.024360227,1.019353214,1.020948758,1.040764022,1.013795576,1.088960558,1.07637672,1.015561129,1.015561129,1.006839125,1.006839125,1.105254792,1.048477906,1.030979111,1.030979111,1.164161525,1.206996326,1.131691676,1.003819722,1.01951557,1.009608668,1.000766419,1.000766419,1.008717053,1.005071374,1.011972845,1.011275038,1.411280164,1.001393323,1.005720039,1.035014818,1.047438241,0.08
MAR-27-11-00,1.016837701,1.00532239,1,1.012118439,1.358787322,1.124310408,1.011433837,1.011470714,1.033837496,1.022825253,1.092537968,1.093929964,1.097009732,1.015561129,1.007854319,1.006839125,1.158926776,1.142203198,1.235449702,1.030979111,1.434913877,1.442537412,1.04051799,1.04051799,1.003224428,1.009608668,1.000766419,1.008120655,1.009642122,1.02159294,1.002936632,1.004121665,1.411280164,1.001393323,1.023582651,1.035014818,1.08244462,0.13
MAR-27-12-00,1.049159654,1.031536555,1.027903471,1.014222864,1.09225841,1.012136377,1.096125804,1.011589072,1.018769749,1.190866648,1.082497276,1.331913358,1.141755006,1.015561129,1.006839125,1.013525124,1.307980316,1.109919991,1.201890897,1.231872312,1.426886546,1.185047906,1.522097507,1.206960876,1.01951557,1.036279035,1.162307929,1.169538623,1.393714869,1.214887831,1.347263035,1.011972845,1.353248084,1.001393323,1.023582651,1.020350634,1.141204733,0.14
MAR-27-16-00,1.002737901,1.36087741,1.012118439,1.244525672,1.374283532,1.019651434,1.010194825,1.178681142,1.105503511,1.108364123,1.092888297,1.098615323,1.437082751,1.015561129,1.200551563,1.006839125,1.471600753,1.087137986,1.126542441,1.101328781,1.289546554,1.286890373,1.311518429,1.198607565,1.371028274,1.01951557,1.162019748,1.000766419,1.010925882,1.005071374,1.206108704,1.027074214,1.553457324,1.34823539,1.003232018,1.035014818,1.163447189,0.16
MAR-27-17-00,1.041896659,1.002737901,1.110595616,1.012118439,1.275867625,1.182223985,1.011654463,1.027525892,1.031886348,1.259426808,1.089882149,1.097857703,1.020265657,1.015561129,1.017069057,1.006839125,1.04224733,1.034095258,1.211068757,1.028298813,1.289607281,1.250713312,1.131691676,1.11643036,1.189165173,1.01951557,1.000766419,1.000766419,1.009642122,1.005071374,1.345760513,1.001317458,1.440641875,1.852067947,1.038246836,1.035014818,1.117931607,0.17
MAR-27-17-30,1.00532239,1.00532239,1,1,1.105476006,1.182574433,1.092270279,1.092270279,1.034302261,1.107617063,1.085627234,1.261802902,1.005482024,1.005482024,1.001240977,1.006839125,1.123361628,1.105088737,1.036746308,1.311875565,1.357033859,1.357033859,1.508293174,1.438366444,1.01951557,1.01951557,1.000766419,1.000766419,1.041533854,1.005071374,1.026315042,1.009726817,1.411280164,1.662501528,1.315287154,1.532940058,1.146518026,0.19
MAR-27-19-30,1.002737901,1.002737901,1.012118439,1.012118439,1.191535356,1.00971484,1.012979317,1.247172677,1.040764022,1.08633722,1.091186132,1.093335748,1.005482024,1.005482024,1.006839125,1.001240977,1.099820114,1.110578876,1.115136507,1.131840719,1.289607281,1.267906338,1.206960876,1.095050523,1.01951557,1.01951557,1.000766419,1.000766419,1.008717053,1.005071374,1.016539273,1.018603384,1.411280164,1.001393323,1.023582651,1.035014818,1.074984705,0.10
MAR-27-20-00,1.00532239,1.00532239,1,1.089902131,1.047011571,1.028357442,1.026943187,1.01599035,1.011940583,1.020712162,1.091186132,1.004310506,1.005482024,1.005482024,1.001240977,1.019044635,1.092893359,1.024789826,1.112165891,1.030979111,1.403193291,1.250713312,1.268306678,1.274659334,1.009608668,1.034223953,1.008120655,1.019955533,1.011500275,1.029948887,1.011972845,1.017370626,1.353248084,1.001393323,1.038246836,1.035014818,1.066848717,0.11
MAR-27-21-00,1.00532239,1.051624404,1.096692746,1.028150566,1.135823222,1.10312545,1.093489417,1.488090375,1.020257337,1.186445488,1.075548284,2.321446578,1.177227204,1.010231823,1.200551563,1.202298893,1.31930324,1.198990093,1.24107253,1.2295397,1.337674873,1.553112215,1.157479073,1.268024032,1.371028274,1.009747501,1.025590713,1.171682007,1.646526348,1.187225013,1.030153889,1.176287315,1.006406016,1.52805434,1.005720039,1.514351442,1.227063733,0.26
